+-+-+-+-+-+-+-+-+-+-+-+-+-+-+ GRAFO CARGADO +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80
1     0         34.234    88.769    48.104    92.195    62.266    75.027    40.012    95.859    96.773    54.083    65.115    56.356    22.204    67.365    87.092    103.078    65.299    92.136    101.833    90.427    32.016    81.302    61.465    73.682    84.959    113.899    72.422    75.06    59.405    74.25    66.603    75.007    82.492    75.505    125.873    30.364    89.286    51.088    58.138    19.925    85.276    28.018    104.809    57.706    78.23    80.056    103.479    87.092    11.662    69.354    37.014    73.171    39.812    82.28    94.515    105.209    101.4    56.009    74.061    58.728    97.637    54.406    58.694    71.847    119.971    41.231    41.231    97.529    110.802    47.539    62.032    67.912    17.0    53.907    91.679    65.115    42.012    86.354    81.154    
2     34.234    0         55.027    31.016    96.664    33.601    42.72    6.708    63.063    85.094    21.19    31.048    27.203    18.358    34.785    69.635    73.0    41.231    58.694    77.524    63.82    12.369    81.597    29.833    40.706    63.325    88.752    45.486    41.012    34.015    43.278    43.081    79.158    67.476    41.485    101.548    35.355    55.714    59.816    40.2    18.028    65.146    26.173    74.518    28.601    79.12    59.135    81.437    53.6    40.447    70.385    27.313    39.013    36.235    73.171    79.076    85.703    73.878    62.682    46.615    39.459    68.593    21.633    24.515    55.444    97.944    43.267    43.267    66.843    90.824    47.413    28.636    64.56    36.401    31.78    65.46    63.906    30.083    55.973    47.011    
3     88.769    55.027    0         54.571    115.603    33.242    16.763    50.567    11.705    82.42    40.608    24.166    36.222    68.593    34.67    62.201    30.15    41.183    27.659    50.695    37.162    62.65    98.6    29.017    16.031    50.22    56.08    33.601    21.954    40.162    21.471    42.19    101.872    65.856    13.892    68.029    77.318    2.0    93.606    52.802    72.615    54.406    70.007    30.414    35.355    97.652    50.329    58.822    26.019    92.779    91.924    63.388    21.401    70.406    79.209    71.561    67.417    39.319    93.408    32.016    50.567    31.257    34.525    30.871    58.258    70.576    78.102    78.102    24.0    69.921    77.795    33.941    82.68    86.145    46.84    39.0    85.088    61.0    21.471    17.72    
4     48.104    31.016    54.571    0         69.065    21.378    37.855    34.713    57.035    54.231    43.417    38.601    19.235    26.627    54.037    40.311    58.523    18.385    71.281    53.814    43.417    43.046    52.839    26.833    38.897    36.878    65.947    26.926    52.802    15.0    34.132    19.235    52.498    37.108    45.618    77.782    24.739    54.129    39.395    10.296    43.324    37.443    20.809    60.44    19.698    50.774    32.016    55.444    66.611    46.325    42.802    11.662    50.0    16.031    42.19    49.041    57.801    54.589    39.962    28.862    10.63    52.202    26.87    36.069    25.298    72.007    23.537    23.537    54.129    63.285    23.707    47.011    35.355    37.59    8.0    44.418    35.805    7.28    43.417    56.604    
5     92.195    96.664    115.603    69.065    0         85.563    100.005    101.966    112.681    44.102    112.361    106.301    86.556    82.565    123.004    58.523    103.078    75.073    137.888    81.744    85.0    106.626    17.029    93.434    102.65    69.354    90.094    82.006    120.341    78.518    94.493    73.756    17.72    52.393    111.036    94.021    64.761    114.403    41.11    65.115    101.139    65.391    72.422    104.924    86.452    18.439    67.119    75.313    133.66    82.0    26.42    69.354    117.516    60.539    38.079    53.935    68.359    92.358    36.346    83.6    67.209    96.255    95.603    104.809    57.428    83.0    54.406    54.406    102.859    72.062    49.396    116.017    34.059    75.24    73.878    84.172    33.287    67.119    96.566    123.037    
6     62.266    33.601    33.242    21.378    85.563    0         16.492    33.106    36.056    60.166    34.0    21.471    6.403    40.249    40.162    41.304    40.817    11.705    52.345    44.283    30.232    45.277    68.622    8.544    17.889    32.14    55.227    12.083    35.0    7.211    13.038    13.601    70.434    41.761    25.612    68.096    45.044    32.757    60.407    20.616    50.931    35.0    38.833    42.544    5.0    67.179    29.017    49.041    48.104    63.569    60.44    31.064    32.202    37.336    52.355    51.478    54.589    40.361    60.415    13.038    18.439    35.609    15.133    22.361    30.871    65.192    44.911    44.911    35.341    59.228    44.598    33.956    51.662    55.785    13.601    31.906    53.413    28.071    24.166    37.483    
7     75.027    42.72    16.763    37.855    100.005    16.492    0         39.699    20.881    69.771    34.0    16.155    20.025    53.852    34.132    49.659    31.401    25.0    38.833    44.102    29.017    52.402    82.976    13.601    4.0    38.275    52.631    18.601    24.515    23.409    5.831    26.249    85.703    52.154    12.649    65.521    61.033    16.279    76.844    36.235    60.745    42.154    54.148    32.65    19.0    81.835    37.121    51.039    35.355    77.878    75.717    47.043    22.204    53.759    64.661    59.615    58.549    35.735    76.694    17.493    34.0    28.636    21.095    21.633    43.186    65.376    61.392    61.392    24.839    62.129    61.033    30.083    66.611    70.711    30.083    31.016    68.797    44.407    15.232    24.597    
8     40.012    6.708    50.567    34.713    101.966    33.106    39.699    0         59.363    88.023    14.56    26.401    26.926    25.06    28.16    71.568    70.725    42.202    52.345    77.389    63.135    12.728    86.539    27.803    37.202    64.288    88.193    45.188    35.057    34.928    41.11    44.147    84.599    70.029    36.77    101.119    41.773    51.43    65.947    43.046    22.136    66.491    32.558    72.125    28.231    84.172    60.415    81.933    47.265    46.872    75.584    32.757    33.242    41.881    76.792    81.302    86.833    72.67    68.6    46.065    42.0    66.843    19.209    19.698    58.009    98.234    49.204    49.204    64.351    91.761    53.0    22.204    69.289    43.081    34.015    64.885    68.942    34.928    53.814    41.195    
9     95.859    63.063    11.705    57.035    112.681    36.056    20.881    59.363    0         76.42    50.912    33.422    40.608    74.726    46.141    56.586    19.026    41.0    38.053    41.629    29.833    71.847    95.88    34.482    22.361    44.598    45.541    32.28    33.541    42.048    23.022    41.485    100.225    61.221    24.083    57.035    81.099    9.849    94.726    53.151    81.006    48.836    74.673    19.026    39.459    95.294    45.804    50.09    37.121    98.717    90.471    67.119    32.757    73.062    75.213    65.192    59.059    29.411    93.862    30.364    50.99    21.541    41.629    40.0    55.471    60.415    80.306    80.306    13.601    60.926    79.076    44.822    81.025    91.411    49.041    31.401    83.934    64.0    16.125    29.411    
10    96.773    85.094    82.42    54.231    44.102    60.166    69.771    88.023    76.42    0         93.381    81.271    64.133    78.588    100.285    20.248    63.008    48.508    108.407    39.357    46.669    97.252    32.016    68.68    73.348    32.202    46.325    51.478    93.622    54.918    63.953    46.573    41.437    18.439    82.292    50.01    66.641    80.802    55.902    45.0    96.881    28.018    69.57    64.637    63.348    33.838    32.65    31.953    105.119    90.427    36.892    61.847    91.0    57.009    15.0    11.402    24.331    51.313    51.088    52.326    46.043    56.851    74.33    82.462    30.15    39.115    56.436    56.436    64.444    28.0    50.249    94.112    31.828    81.413    54.083    45.277    36.069    57.271    61.221    94.366    
11    54.083    21.19    40.608    43.417    112.361    34.0    34.0    14.56    50.912    93.381    0         18.028    29.275    39.395    13.601    75.166    65.192    45.177    38.053    76.4    61.4    23.537    96.255    26.173    30.529    66.068    86.035    45.277    21.84    38.471    37.336    47.17    95.441    74.967    26.907    99.02    55.218    41.869    78.518    49.649    35.128    69.0    46.043    66.287    30.15    94.154    63.008    82.201    33.015    61.392    85.983    44.553    20.616    53.759    83.815    85.288    88.363    69.462    80.66    45.541    48.083    62.61    19.105    12.649    63.348    97.745    61.522    61.522    58.523    92.779    64.537    8.062    78.772    57.585    40.162    63.325    79.076    45.607    49.193    28.16    
12    65.115    31.048    24.166    38.601    106.301    21.471    16.155    26.401    33.422    81.271    18.028    0         19.799    46.011    19.235    61.847    47.17    33.106    32.757    59.682    44.553    38.588    89.499    13.038    12.53    51.478    68.68    30.414    14.213    28.018    20.224    34.928    90.521    62.968    10.44    81.609    57.567    25.06    77.524    41.231    48.466    54.918    49.244    48.26    19.849    87.864    49.244    66.121    28.018    70.029    80.61    44.385    11.402    52.773    73.824    72.035    73.027    51.865    78.492    30.15    39.205    44.777    12.649    6.708    52.326    81.049    60.828    60.828    40.497    77.026    62.129    14.142    72.25    64.195    32.527    46.53    73.539    43.417    31.385    18.385    
13    56.356    27.203    36.222    19.235    86.556    6.403    20.025    26.926    40.608    64.133    29.275    19.799    0         34.54    37.121    46.011    46.872    16.0    52.202    50.537    36.62    38.949    69.814    7.616    20.224    37.656    61.587    18.358    33.971    9.22    18.028    18.0    70.725    45.706    26.401    74.431    41.11    36.056    58.6    21.633    44.553    40.2    34.132    48.549    1.414    68.118    34.132    55.027    47.634    58.241    60.811    27.166    31.145    34.482    55.154    56.08    60.208    46.755    59.169    19.416    19.723    41.869    10.198    18.788    34.205    71.309    42.379    42.379    41.183    65.0    42.942    30.463    52.498    50.804    12.728    38.275    53.74    25.0    30.017    37.443    
14    22.204    18.358    68.593    26.627    82.565    40.249    53.852    25.06    74.726    78.588    39.395    46.011    34.54    0         52.924    66.648    81.006    43.186    76.158    79.931    68.25    24.698    68.884    40.262    52.953    63.411    91.924    50.22    57.871    37.202    52.555    44.553    64.846    62.769    56.036    104.062    18.358    68.884    43.417    36.892    19.026    64.07    10.198    82.765    35.847    66.098    58.6    82.006    71.063    24.187    57.07    16.763    55.579    23.022    64.938    74.847    84.38    79.202    47.011    51.865    37.202    75.472    34.132    40.2    51.43    98.6    28.16    28.16    75.584    89.889    33.541    46.487    53.038    18.439    31.828    69.527    51.352    21.541    64.405    63.506    
15    67.365    34.785    34.67    54.037    123.004    40.162    34.132    28.16    46.141    100.285    13.601    19.235    37.121    52.924    0         81.025    62.968    51.865    25.08    78.23    63.127    36.014    106.508    31.623    30.15    70.711    86.493    49.649    12.806    46.098    39.0    53.759    106.527    81.908    23.087    99.247    68.264    36.359    90.907    58.669    48.01    74.148    59.169    63.695    37.577    104.623    68.447    85.006    20.224    74.953    96.83    56.851    13.416    65.947    92.195    91.22    92.136    69.426    92.698    49.366    56.824    61.847    27.459    18.358    70.937    99.504    73.878    73.878    56.303    96.005    76.381    7.071    89.051    71.169    49.396    65.123    89.811    57.28    48.836    18.439    
16    87.092    69.635    62.201    40.311    58.523    41.304    49.659    71.568    56.586    20.248    75.166    61.847    46.011    66.648    81.025    0         44.721    30.017    88.193    24.021    27.203    82.0    42.953    49.649    53.31    12.042    34.525    31.623    73.736    37.014    43.863    28.018    50.09    7.071    62.241    42.953    58.728    60.605    56.08    30.083    83.57    7.81    59.076    46.519    45.044    43.417    12.649    19.925    84.971    82.879    42.107    50.249    71.169    48.166    20.616    10.198    18.385    33.838    52.498    32.311    30.364    38.079    56.08    63.64    15.264    34.409    50.448    50.448    45.222    24.042    45.222    75.133    33.541    73.661    37.855    26.077    37.855    45.277    41.11    74.25    
17    103.078    73.0    30.15    58.523    103.078    40.817    31.401    70.725    19.026    63.008    65.192    47.17    46.872    81.006    62.968    44.721    0         40.262    57.079    24.839    18.439    83.451    86.977    43.186    34.67    33.838    26.683    31.623    50.961    44.385    29.732    39.812    92.892    50.695    39.925    38.013    83.241    28.16    92.005    51.624    90.907    37.696    78.549    2.0    45.486    86.977    36.878    33.422    56.036    103.87    83.744    69.893    49.649    73.756    65.0    51.614    42.638    12.042    90.089    29.732    49.82    7.071    51.624    53.009    48.508    41.761    79.906    79.906    6.708    43.566    77.233    60.374    74.33    95.635    50.922    18.974    77.929    65.803    17.029    47.676    
